eng_A,jpn_A,math_A,eng_B,jpn_B,math_B,eng_C,jpn_C,math_C,,,(english_dummy_A),(math_dummy_A),(japanese_dummy_A),(english_dummy_B),(math_dummy_B),(japanese_dummy_B),(english_dummy_C),(math_dummy_C),(japanese_dummy_C)
59,38,73,68,83,52,78,77,62,,,59,73,38,68,52,83,78,62,77
47,30,57,52,60,81,66,70,59,,,47,57,30,52,81,60,66,59,70
87,85,26,38,30,77,41,50,61,,,87,26,85,38,77,30,41,61,50
57,18,60,58,80,98,34,60,30,,,57,60,18,58,98,80,34,30,60
89,95,41,2,20,31,61,90,47,,,89,41,95,2,31,20,61,47,90
50,64,79,40,50,64,100,100,96,,,50,79,64,40,64,50,106,96,110
13,9,40,35,60,100,77,90,99,,,13,40,9,35,103,60,77,99,90
53,33,64,86,100,30,63,50,48,,,53,64,33,86,30,110,63,48,50
55,51,23,72,90,22,92,90,43,,,55,23,51,72,22,90,92,43,90
52,48,48,94,100,68,79,80,28,,,52,48,48,94,68,100,79,28,80
34,46,68,94,100,25,86,90,90,,,34,68,46,94,25,120,86,90,90
43,47,74,75,80,35,30,40,45,,,43,74,47,75,35,80,30,45,40
51,63,54,48,70,90,66,90,75,,,51,54,63,48,90,70,66,75,90
39,39,95,59,70,71,89,100,71,,,39,95,39,59,71,70,89,71,110
76,74,27,18,50,67,72,70,42,,,76,27,74,18,67,50,72,42,70
62,58,41,76,90,63,95,90,40,,,62,41,58,76,63,90,95,40,90
62,25,17,79,100,45,100,100,90,,,62,17,25,79,45,100,103,90,100
92,100,72,71,100,77,88,100,85,,,92,72,115,71,77,100,88,85,100
76,100,61,66,80,55,69,90,82,,,76,61,108,66,55,80,69,82,90
58,52,52,45,60,90,77,90,60,,,58,52,52,45,90,60,77,60,90
77,100,91,76,100,73,73,80,53,,,77,91,104,76,73,100,73,53,80
72,51,82,71,90,53,63,60,46,,,72,82,51,71,53,90,63,46,60
70,64,56,48,70,67,70,90,51,,,70,56,64,48,67,70,70,51,90
38,10,75,67,80,61,71,80,90,,,38,75,10,67,61,80,71,90,80
27,6,24,62,70,34,70,80,73,,,27,24,6,62,34,70,70,73,80
76,50,63,49,50,51,93,100,43,,,76,63,50,49,51,50,93,43,100
65,79,70,83,80,66,48,60,58,,,65,70,79,83,66,80,48,58,60
49,70,71,75,80,55,85,100,73,,,49,71,70,75,55,80,85,73,100
77,54,95,81,100,70,60,80,90,,,77,95,54,81,70,100,60,90,80
60,44,68,49,80,91,41,40,76,,,60,68,44,49,91,80,41,76,40
68,46,71,53,60,77,30,40,77,,,68,71,46,53,77,60,30,77,40
59,54,100,52,70,61,79,80,62,,,59,106,54,52,61,70,79,62,80
70,57,41,47,70,58,33,50,50,,,70,41,57,47,58,70,33,50,50
86,71,63,65,80,43,78,90,66,,,86,63,71,65,43,80,78,66,90
88,63,60,71,80,39,85,100,70,,,88,60,63,71,39,80,85,70,100
67,65,46,71,90,74,61,80,65,,,67,46,65,71,74,90,61,65,80
27,6,74,52,70,33,25,40,51,,,27,74,6,52,33,70,25,51,40
50,59,45,4,30,68,98,100,68,,,50,45,59,4,68,30,98,68,110
57,61,19,78,90,49,42,70,54,,,57,19,61,78,49,90,42,54,70
37,25,88,66,80,100,59,60,69,,,37,88,25,66,105,80,59,69,60
21,14,66,72,90,58,59,70,85,,,21,66,14,72,58,90,59,85,70
72,83,87,68,80,100,100,100,80,,,72,87,83,68,112,80,102,80,110
25,0,32,39,60,62,53,70,62,,,25,32,-7,39,62,60,53,62,70
55,0,90,47,50,37,64,70,47,,,55,90,-1,47,37,50,64,47,70
97,60,53,14,30,85,76,100,43,,,97,53,60,14,85,30,76,43,100
47,40,77,51,60,100,63,90,30,,,47,77,40,51,109,60,63,30,90
78,66,50,67,70,100,18,60,100,,,78,50,66,67,101,70,18,101,60
24,26,42,74,70,100,34,40,71,,,24,42,26,74,102,70,34,71,40
18,22,73,72,90,99,57,60,36,,,18,73,22,72,99,90,57,36,60
62,25,67,67,80,32,37,60,78,,,62,67,25,67,32,80,37,78,60
72,79,55,55,70,58,64,100,95,,,72,55,79,55,58,70,64,95,100
60,77,45,68,80,54,58,60,49,,,60,45,77,68,54,80,58,49,60
80,75,57,76,90,56,87,100,43,,,80,57,75,76,56,90,87,43,100
78,70,52,50,70,56,36,60,62,,,78,52,70,50,56,70,36,62,60
100,84,93,84,100,43,54,70,65,,,105,93,84,84,43,100,54,65,70
62,37,59,53,80,32,68,90,64,,,62,59,37,53,32,80,68,64,90
55,42,66,41,40,77,52,80,55,,,55,66,42,41,77,40,52,55,80
50,52,65,52,80,73,55,70,75,,,50,65,52,52,73,80,55,75,70
75,88,49,36,40,81,54,60,73,,,75,49,88,36,81,40,54,73,60
45,39,31,27,30,45,81,90,73,,,45,31,39,27,45,30,81,73,90
77,58,36,49,60,44,77,80,5,,,77,36,58,49,44,60,77,5,80
40,33,85,63,60,47,42,60,32,,,40,85,33,63,47,60,42,32,60
46,46,73,83,90,40,50,70,13,,,46,73,46,83,40,90,50,13,70
59,57,56,76,100,85,30,40,70,,,59,56,57,76,85,100,30,70,40
