class_n,eng,jpn,math,eng*,jpn*,math*,,,,,,(english_dummy_A),(math_dummy_A),(japanese_dummy_A),(english_dummy_B),(math_dummy_B),(japanese_dummy_B),(english_dummy_C),(math_dummy_C),(japanese_dummy_C),(eng*_dummy_A),(math*_dummy_A),(jpn*_dummy_A)
1,55,67,59,64,65,33,,,,,,55,59,67,22,58,13,36,70,14,64,65,33
1,72,68,34,64,75,44,,,,,,72,34,68,23,60,13,48,111,31,64,75,44
1,61,68,73,66,45,44,,,,,,61,73,68,31,55,19,79,58,44,66,45,44
1,38,26,43,38,51,76,,,,,,38,43,26,62,73,33,24,86,9,38,51,76
1,74,89,28,55,85,100,,,,,,74,28,89,87,49,79,48,89,7,55,85,128
1,94,94,55,70,63,59,,,,,,94,55,94,49,19,50,78,41,33,70,63,59
1,82,100,53,94,54,92,,,,,,82,53,110,69,60,60,72,81,57,94,54,92
1,39,45,17,87,71,99,,,,,,39,17,45,87,59,71,93,68,70,87,71,99
1,52,44,51,69,34,69,,,,,,52,51,44,61,34,17,3,72,-8,69,34,69
1,44,96,80,38,62,56,,,,,,44,80,96,36,62,26,52,91,31,38,62,56
1,66,61,38,71,76,64,,,,,,66,38,61,46,71,7,74,70,54,71,76,64
1,28,53,72,100,65,76,,,,,,28,72,53,79,67,72,53,38,34,100,65,76
1,70,66,44,82,80,100,,,,,,70,44,66,90,100,99,36,54,6,82,80,114
1,93,100,68,61,85,95,,,,,,93,68,100,60,27,41,80,66,63,61,85,95
1,46,73,36,76,81,100,,,,,,46,36,73,83,60,54,61,82,40,76,81,115
1,35,43,50,82,89,62,,,,,,35,50,43,49,37,47,61,57,41,82,89,62
1,92,72,35,79,81,83,,,,,,92,35,72,73,66,60,51,55,4,79,81,83
1,72,76,100,79,52,86,,,,,,72,104,76,67,82,36,45,87,33,79,52,86
1,58,49,60,72,50,48,,,,,,58,60,49,39,56,37,62,85,41,72,50,48
1,68,59,52,40,77,100,,,,,,68,52,59,89,66,61,28,60,11,40,77,106
1,32,28,27,74,70,91,,,,,,32,27,28,77,87,58,46,47,22,74,70,91
1,37,25,55,79,83,75,,,,,,37,55,25,59,59,52,7,43,3,79,83,75
1,46,29,48,38,86,74,,,,,,46,48,29,56,44,40,67,25,32,38,86,74
1,18,29,36,36,73,96,,,,,,18,36,29,89,38,53,86,27,59,36,73,96
1,55,37,80,80,67,55,,,,,,55,80,37,33,83,4,61,61,28,80,67,55
