eng_A,jpn_A,math_A,eng_A*,jpn_A*,math_A*,eng_B,jpn_B,math_B,eng_C,jpn_C,math_C,,,,,,(english_dummy_A),(math_dummy_A),(japanese_dummy_A),(english_dummy_B),(math_dummy_B),(japanese_dummy_B),(english_dummy_C),(math_dummy_C),(japanese_dummy_C),(eng*_dummy_A),(math*_dummy_A),(jpn*_dummy_A)
67,63,22,30,67,99,65,76,61,65,79,56,,,,,,67,22,63,65,61,76,65,56,79,30,67,99
64,62,38,45,68,97,89,100,29,18,40,38,,,,,,64,38,62,89,29,100,18,38,40,45,68,97
69,82,52,70,86,62,48,80,59,28,60,82,,,,,,69,52,82,48,59,80,28,82,60,70,86,62
59,44,70,52,46,77,58,70,79,91,100,79,,,,,,59,70,44,58,79,70,91,79,110,52,46,77
94,79,44,38,76,40,29,30,59,46,40,57,,,,,,94,44,79,29,59,30,46,57,40,38,76,40
73,94,67,83,57,89,67,80,45,54,60,47,,,,,,73,67,94,67,45,80,54,47,60,83,57,89
28,5,78,54,45,88,66,100,45,69,90,33,,,,,,28,78,5,66,45,110,69,33,90,54,45,88
56,51,83,70,59,100,88,100,40,75,80,64,,,,,,56,83,51,88,40,100,75,64,80,70,59,101
45,61,53,57,81,100,84,100,75,68,80,55,,,,,,45,53,61,84,75,100,68,55,80,57,81,101
38,40,61,84,60,55,44,50,80,60,70,27,,,,,,38,61,40,44,80,50,60,27,70,84,60,55
28,0,51,64,73,91,70,90,87,53,80,84,,,,,,28,51,-6,70,87,90,53,84,80,64,73,91
0,30,37,46,80,53,45,40,83,43,60,53,,,,,,-12,37,30,45,83,40,43,53,60,46,80,53
71,74,57,65,59,37,26,50,61,82,100,66,,,,,,71,57,74,26,61,50,82,66,100,65,59,37
54,42,100,65,58,100,85,100,93,62,70,31,,,,,,54,103,42,85,93,100,62,31,70,65,58,100
63,56,19,40,51,51,23,40,92,75,90,55,,,,,,63,19,56,23,92,40,75,55,90,40,51,51
45,27,47,90,62,58,33,40,62,64,70,76,,,,,,45,47,27,33,62,40,64,76,70,90,62,58
32,6,37,56,52,65,57,80,71,54,60,72,,,,,,32,37,6,57,71,80,54,72,60,56,52,65
40,30,64,56,47,100,75,100,38,23,20,60,,,,,,40,64,30,75,38,100,23,60,20,56,47,112
56,62,42,51,52,91,65,80,68,84,90,39,,,,,,56,42,62,65,68,80,84,39,90,51,52,91
71,66,60,47,95,69,71,80,73,70,90,57,,,,,,71,60,66,71,73,80,70,57,90,47,95,69
64,69,94,96,52,93,67,90,70,77,90,75,,,,,,64,94,69,67,70,90,77,75,90,96,52,93
28,28,65,53,54,67,52,70,94,54,70,49,,,,,,28,65,28,52,94,70,54,49,70,53,54,67
52,20,78,47,46,73,57,80,43,81,80,57,,,,,,52,78,20,57,43,80,81,57,80,47,46,73
80,71,74,99,59,100,95,90,58,61,80,54,,,,,,80,74,71,95,58,90,61,54,80,99,59,103
49,70,91,60,42,93,80,100,60,88,100,55,,,,,,49,91,70,80,60,110,88,55,100,60,42,93
68,74,70,33,36,62,37,50,27,59,80,29,,,,,,68,70,74,37,27,50,59,29,80,33,36,62
60,66,77,88,42,84,70,80,70,76,90,81,,,,,,60,77,66,70,70,80,76,81,90,88,42,84
45,52,64,47,66,52,52,70,56,67,60,41,,,,,,45,64,52,52,56,70,67,41,60,47,66,52
79,71,68,68,40,70,48,60,73,78,80,13,,,,,,79,68,71,48,73,60,78,13,80,68,40,70
61,41,48,100,53,35,17,20,64,45,50,96,,,,,,61,48,41,17,64,20,45,96,50,104,53,35
57,17,58,62,63,86,61,70,97,24,40,41,,,,,,57,58,17,61,97,70,24,41,40,62,63,86
47,62,50,4,73,96,73,90,54,80,80,85,,,,,,47,50,62,73,54,90,80,85,80,4,73,96
