class,eng_A,jpn_A,math_A,eng_A*,jpn_A*,math_A*,eng_B,jpn_B,math_B,eng_C,jpn_C,math_C,,,,,,(english_dummy_A),(math_dummy_A),(japanese_dummy_A),(english_dummy_B),(math_dummy_B),(japanese_dummy_B),(english_dummy_C),(math_dummy_C),(japanese_dummy_C),(eng*_dummy_A),(math*_dummy_A),(jpn*_dummy_A)
A,64,39,59,50,77,66,,,,,,,,,,,,64,59,39,49,38,52,16,50,24,50,77,66
A,72,68,48,81,57,44,,,,,,,,,,,,72,48,68,31,29,50,65,76,70,81,57,44
A,18,23,81,81,13,100,,,,,,,,,,,,18,81,23,83,53,90,50,27,60,81,13,106
A,75,100,83,100,100,50,,,,,,,,,,,,75,83,101,38,62,80,58,64,80,101,106,50
A,76,82,51,83,35,83,,,,,,,,,,,,76,51,82,66,20,70,73,96,90,83,35,83
A,45,0,76,75,54,51,,,,,,,,,,,,45,76,-5,28,71,50,24,80,50,75,54,51
A,16,28,59,100,96,87,,,,,,,,,,,,16,59,28,86,65,90,78,54,90,102,96,87
A,66,50,36,75,71,86,,,,,,,,,,,,66,36,50,82,50,100,60,22,80,75,71,86
A,53,48,66,81,43,70,,,,,,,,,,,,53,66,48,36,88,60,69,93,80,81,43,70
A,32,19,60,71,44,100,,,,,,,,,,,,32,60,19,97,54,100,80,64,80,71,44,102
A,84,82,65,72,54,100,,,,,,,,,,,,84,65,82,86,31,90,56,76,80,72,54,100
A,66,38,21,53,69,85,,,,,,,,,,,,66,21,38,71,49,80,81,36,90,53,69,85
A,79,56,11,72,41,87,,,,,,,,,,,,79,11,56,78,48,80,39,75,20,72,41,87
A,65,62,36,51,31,50,,,,,,,,,,,,65,36,62,38,68,30,68,57,90,51,31,50
A,33,12,69,55,78,100,,,,,,,,,,,,33,69,12,88,39,90,70,70,90,55,78,103
A,54,27,37,83,79,70,,,,,,,,,,,,54,37,27,56,27,70,22,66,50,83,79,70
A,92,93,62,75,51,71,,,,,,,,,,,,92,62,93,55,67,60,9,77,30,75,51,71
A,75,77,27,83,100,33,,,,,,,,,,,,75,27,77,22,84,30,65,53,80,83,102,33
A,34,59,61,64,56,97,,,,,,,,,,,,34,61,59,89,94,100,54,32,80,64,56,97
A,57,45,60,68,29,56,,,,,,,,,,,,57,60,45,34,61,50,51,36,70,68,29,56
A,14,18,55,82,47,69,,,,,,,,,,,,14,55,18,69,70,80,46,106,80,82,47,69
A,29,22,41,53,50,44,,,,,,,,,,,,29,41,22,43,25,60,85,61,90,53,50,44
A,61,1,44,47,62,66,,,,,,,,,,,,61,44,1,44,62,60,53,63,70,47,62,66
A,45,44,68,64,71,75,,,,,,,,,,,,45,68,44,69,67,90,34,50,50,64,71,75
A,85,83,45,98,89,100,,,,,,,,,,,,85,45,83,96,34,110,62,63,100,98,89,103
A,57,40,83,60,40,77,,,,,,,,,,,,57,83,40,55,56,80,85,93,90,60,40,77
A,52,41,77,58,69,73,,,,,,,,,,,,52,77,41,76,67,100,95,68,100,58,69,73
A,34,38,27,44,25,52,,,,,,,,,,,,34,27,38,33,41,40,52,29,70,44,25,52
A,70,71,65,100,26,72,,,,,,,,,,,,70,65,71,57,44,60,82,78,100,100,26,72
