class,eng,jpn,math,eng*,jpn*,math*,,,,,,,,,,,,(english_dummy_A),(math_dummy_A),(japanese_dummy_A),(english_dummy_B),(math_dummy_B),(japanese_dummy_B),(english_dummy_C),(math_dummy_C),(japanese_dummy_C),(eng*_dummy_A),(math*_dummy_A),(jpn*_dummy_A)
A,68,70,81,55,73,68,,,,,,,,,,,,68,81,70,67,62,71,43,56,79,55,73,68
A,70,44,83,39,62,67,,,,,,,,,,,,70,83,44,53,63,80,79,44,90,39,62,67
A,65,41,38,81,65,55,,,,,,,,,,,,65,38,41,48,30,60,81,47,90,81,65,55
A,49,44,68,59,62,67,,,,,,,,,,,,49,68,44,42,91,40,67,49,80,59,62,67
A,46,43,44,32,60,71,,,,,,,,,,,,46,44,43,45,48,40,46,31,60,32,60,71
A,55,35,21,76,22,62,,,,,,,,,,,,55,21,35,44,44,70,71,51,90,76,22,62
A,89,37,24,69,74,100,,,,,,,,,,,,89,24,37,93,94,110,62,62,80,69,74,108
A,59,23,58,86,62,100,,,,,,,,,,,,59,58,23,99,59,100,86,46,90,86,62,117
A,59,49,60,61,59,34,,,,,,,,,,,,59,60,49,35,31,50,46,66,60,61,59,34
A,63,44,56,72,59,89,,,,,,,,,,,,63,56,44,54,71,60,61,79,80,72,59,89
A,49,27,60,65,18,100,,,,,,,,,,,,49,60,27,73,46,90,32,69,40,65,18,112
A,60,61,69,66,47,98,,,,,,,,,,,,60,69,61,93,63,110,39,20,60,66,47,98
A,63,60,75,78,61,59,,,,,,,,,,,,63,75,60,51,69,70,60,33,80,78,61,59
A,72,78,53,88,40,69,,,,,,,,,,,,72,53,78,61,76,80,76,83,90,88,40,69
A,43,77,55,79,33,69,,,,,,,,,,,,43,55,77,59,48,70,83,72,100,79,33,69
A,71,37,41,86,54,86,,,,,,,,,,,,71,41,37,70,78,100,42,43,50,86,54,86
A,63,62,73,25,59,51,,,,,,,,,,,,63,73,62,37,69,60,25,71,50,25,59,51
A,41,40,62,64,73,72,,,,,,,,,,,,41,62,40,75,48,80,75,36,60,64,73,72
A,52,30,79,82,51,52,,,,,,,,,,,,52,79,30,42,41,70,62,74,90,82,51,52
A,23,19,44,77,62,100,,,,,,,,,,,,23,44,19,118,45,110,87,39,80,77,62,128
A,67,66,58,72,75,100,,,,,,,,,,,,67,58,66,71,98,90,69,67,90,72,75,103
A,61,58,100,84,60,100,,,,,,,,,,,,61,107,58,80,81,90,96,69,110,84,60,109
A,59,34,65,78,86,95,,,,,,,,,,,,59,65,34,83,103,70,79,62,100,78,86,95
A,100,77,39,57,80,59,,,,,,,,,,,,112,39,77,49,55,100,105,77,120,57,80,59
A,56,43,92,81,52,78,,,,,,,,,,,,56,92,43,55,63,70,45,61,40,81,52,78
A,75,92,60,53,46,68,,,,,,,,,,,,75,60,92,44,65,60,40,65,60,53,46,68
A,70,59,53,92,18,84,,,,,,,,,,,,70,53,59,84,78,100,88,77,100,92,18,84
A,81,86,44,60,43,48,,,,,,,,,,,,81,44,86,35,62,70,31,57,50,60,43,48
A,14,0,91,23,73,92,,,,,,,,,,,,14,91,-24,84,60,90,62,60,70,23,73,92
A,55,54,100,42,27,71,,,,,,,,,,,,55,100,54,63,91,60,29,42,50,42,27,71
A,53,52,32,54,90,100,,,,,,,,,,,,53,32,52,73,56,90,61,93,80,54,90,100
A,93,100,46,34,29,100,,,,,,,,,,,,93,46,143,93,61,90,51,76,80,34,29,104
A,76,63,90,43,79,89,,,,,,,,,,,,76,90,63,56,97,60,66,35,100,43,79,89
A,34,0,60,70,62,82,,,,,,,,,,,,34,60,-11,67,48,80,59,52,80,70,62,82
