class,eng,jpn,math,eng*,jpn*,math*,,,,,,(english_dummy_A),(math_dummy_A),(japanese_dummy_A),(english_dummy_B),(math_dummy_B),(japanese_dummy_B),(english_dummy_C),(math_dummy_C),(japanese_dummy_C),(eng*_dummy_A),(math*_dummy_A),(jpn*_dummy_A)
A,44,65,70,67,84,31,,,,,,44,70,65,24,58,9,61,62,87,67,84,31
A,45,12,54,59,100,67,,,,,,45,54,12,61,73,59,63,35,85,59,105,67
A,42,22,84,60,40,95,,,,,,42,84,22,82,64,104,80,70,69,60,40,95
A,80,62,79,31,71,71,,,,,,80,79,62,70,70,54,-6,55,-1,31,71,71
A,73,95,74,71,86,64,,,,,,73,74,95,51,90,53,29,76,20,71,86,64
A,57,52,84,94,45,73,,,,,,57,84,52,49,70,45,77,30,77,94,45,73
A,49,48,46,89,28,49,,,,,,49,46,48,38,61,42,51,61,38,89,28,49
A,59,52,52,60,42,49,,,,,,59,52,52,39,49,57,50,61,55,60,42,49
A,51,61,79,81,82,97,,,,,,51,79,61,105,82,86,53,44,66,81,82,97
A,64,64,98,83,53,100,,,,,,64,98,64,79,47,83,84,54,94,83,53,102
A,81,80,75,55,32,68,,,,,,81,75,80,48,66,58,63,80,64,55,32,68
A,34,27,34,75,77,44,,,,,,34,34,27,37,49,55,55,59,70,75,77,44
A,46,53,80,59,38,73,,,,,,46,80,53,48,105,45,48,78,53,59,38,73
A,42,36,66,72,12,76,,,,,,42,66,36,63,74,75,54,124,48,72,12,76
A,58,43,58,90,63,59,,,,,,58,58,43,47,95,52,54,76,38,90,63,59
A,55,52,67,81,71,96,,,,,,55,67,52,73,16,82,43,51,52,81,71,96
A,56,54,68,80,37,37,,,,,,56,68,54,37,55,32,58,56,37,80,37,37
A,80,76,47,48,77,61,,,,,,80,47,76,53,56,37,51,98,62,48,77,61
A,33,30,18,51,53,98,,,,,,33,18,30,97,66,94,56,60,52,51,53,98
A,61,57,90,74,53,72,,,,,,61,90,57,44,84,47,76,66,73,74,53,72
A,57,44,45,59,59,55,,,,,,57,45,44,59,75,73,16,54,26,59,59,55
A,55,52,18,42,53,79,,,,,,55,18,52,50,62,41,45,101,64,42,53,79
A,95,53,66,59,65,69,,,,,,95,66,53,60,48,59,30,79,24,59,65,69
A,61,84,67,49,64,66,,,,,,61,67,84,64,18,64,61,52,60,49,64,66
A,85,92,68,63,48,80,,,,,,85,68,92,80,42,91,83,60,96,63,48,80
A,68,93,70,60,64,62,,,,,,68,70,93,46,15,51,66,64,78,60,64,62
